gid,ctlabel,borocode,boroname,ct2010,boroct2010,cdeligibil,ntacode,ntaname,puma
79,116,3,Brooklyn,11600,3011600,E,BK88,Borough Park,4014
80,117,3,Brooklyn,11700,3011700,I,BK37,Park Slope-Gowanus,4005
81,118,3,Brooklyn,11800,3011800,E,BK34,Sunset Park East,4012
82,121,3,Brooklyn,12100,3012100,I,BK37,Park Slope-Gowanus,4005
83,128.01,3,Brooklyn,12801,3012801,I,BK30,Dyker Heights,4013
84,130,3,Brooklyn,13000,3013000,E,BK31,Bay Ridge,4013
85,132,3,Brooklyn,13200,3013200,E,BK30,Dyker Heights,4013
86,133,3,Brooklyn,13300,3013300,I,BK37,Park Slope-Gowanus,4005
87,136,3,Brooklyn,13600,3013600,I,BK31,Bay Ridge,4013
88,137,3,Brooklyn,13700,3013700,I,BK37,Park Slope-Gowanus,4005
89,138,3,Brooklyn,13800,3013800,E,BK31,Bay Ridge,4013
90,139,3,Brooklyn,13900,3013900,E,BK37,Park Slope-Gowanus,4005
91,151,3,Brooklyn,15100,3015100,I,BK37,Park Slope-Gowanus,4005
92,153,3,Brooklyn,15300,3015300,I,BK37,Park Slope-Gowanus,4005
93,155,3,Brooklyn,15500,3015500,I,BK37,Park Slope-Gowanus,4005
94,157,3,Brooklyn,15700,3015700,I,BK37,Park Slope-Gowanus,4005
95,165,3,Brooklyn,16500,3016500,I,BK37,Park Slope-Gowanus,4005
96,170,3,Brooklyn,17000,3017000,I,BK27,Bath Beach,4017
97,172,3,Brooklyn,17200,3017200,E,BK27,Bath Beach,4017
98,178,3,Brooklyn,17800,3017800,E,BK27,Bath Beach,4017
99,180,3,Brooklyn,18000,3018000,E,BK27,Bath Beach,4017
100,182,3,Brooklyn,18200,3018200,E,BK28,Bensonhurst West,4017
101,184,3,Brooklyn,18400,3018400,E,BK28,Bensonhurst West,4017
102,186,3,Brooklyn,18600,3018600,I,BK28,Bensonhurst West,4017
103,188,3,Brooklyn,18800,3018800,I,BK28,Bensonhurst West,4017
104,190,3,Brooklyn,19000,3019000,E,BK28,Bensonhurst West,4017
105,192,3,Brooklyn,19200,3019200,E,BK88,Borough Park,4014
106,194,3,Brooklyn,19400,3019400,E,BK30,Dyker Heights,4013
107,195,3,Brooklyn,19500,3019500,E,BK69,Clinton Hill,4004
108,196,3,Brooklyn,19600,3019600,E,BK30,Dyker Heights,4013
109,197,3,Brooklyn,19700,3019700,I,BK69,Clinton Hill,4004
110,198,3,Brooklyn,19800,3019800,E,BK30,Dyker Heights,4013
111,201,3,Brooklyn,20100,3020100,I,BK69,Clinton Hill,4004
112,204,3,Brooklyn,20400,3020400,I,BK30,Dyker Heights,4013
113,208,3,Brooklyn,20800,3020800,I,BK30,Dyker Heights,4013
114,210,3,Brooklyn,21000,3021000,E,BK30,Dyker Heights,4013
115,212,3,Brooklyn,21200,3021200,E,BK30,Dyker Heights,4013
116,214,3,Brooklyn,21400,3021400,E,BK88,Borough Park,4014
117,216,3,Brooklyn,21600,3021600,E,BK88,Borough Park,4014
118,218,3,Brooklyn,21800,3021800,E,BK88,Borough Park,4014
119,219,3,Brooklyn,21900,3021900,E,BK61,Crown Heights North,4006
120,220,3,Brooklyn,22000,3022000,E,BK88,Borough Park,4014
121,221,3,Brooklyn,22100,3022100,E,BK61,Crown Heights North,4006
200,414.01,3,Brooklyn,41401,3041401,E,BK25,Homecrest,4016
122,222,3,Brooklyn,22200,3022200,E,BK88,Borough Park,4014
123,224,3,Brooklyn,22400,3022400,E,BK88,Borough Park,4014
124,226,3,Brooklyn,22600,3022600,E,BK88,Borough Park,4014
125,227,3,Brooklyn,22700,3022700,E,BK69,Clinton Hill,4004
126,228,3,Brooklyn,22800,3022800,E,BK88,Borough Park,4014
127,229,3,Brooklyn,22900,3022900,E,BK69,Clinton Hill,4004
128,231,3,Brooklyn,23100,3023100,I,BK69,Clinton Hill,4004
129,232,3,Brooklyn,23200,3023200,E,BK88,Borough Park,4014
130,234,3,Brooklyn,23400,3023400,E,BK88,Borough Park,4014
131,235,3,Brooklyn,23500,3023500,E,BK69,Clinton Hill,4004
132,236,3,Brooklyn,23600,3023600,E,BK88,Borough Park,4014
133,238,3,Brooklyn,23800,3023800,E,BK88,Borough Park,4014
134,240,3,Brooklyn,24000,3024000,E,BK88,Borough Park,4014
135,242,3,Brooklyn,24200,3024200,E,BK88,Borough Park,4014
136,245,3,Brooklyn,24500,3024500,E,BK75,Bedford,4003
137,246,3,Brooklyn,24600,3024600,E,BK88,Borough Park,4014
138,247,3,Brooklyn,24700,3024700,E,BK61,Crown Heights North,4006
139,248,3,Brooklyn,24800,3024800,E,BK28,Bensonhurst West,4017
140,249,3,Brooklyn,24900,3024900,E,BK75,Bedford,4003
141,250,3,Brooklyn,25000,3025000,E,BK28,Bensonhurst West,4017
142,252,3,Brooklyn,25200,3025200,E,BK28,Bensonhurst West,4017
143,254,3,Brooklyn,25400,3025400,E,BK28,Bensonhurst West,4017
144,256,3,Brooklyn,25600,3025600,E,BK28,Bensonhurst West,4017
145,258,3,Brooklyn,25800,3025800,E,BK28,Bensonhurst West,4017
146,260,3,Brooklyn,26000,3026000,E,BK28,Bensonhurst West,4017
147,262,3,Brooklyn,26200,3026200,I,BK28,Bensonhurst West,4017
148,263,3,Brooklyn,26300,3026300,E,BK75,Bedford,4003
149,264,3,Brooklyn,26400,3026400,E,BK28,Bensonhurst West,4017
150,266,3,Brooklyn,26600,3026600,I,BK28,Bensonhurst West,4017
151,267,3,Brooklyn,26700,3026700,I,BK75,Bedford,4003
152,268,3,Brooklyn,26800,3026800,E,BK28,Bensonhurst West,4017
153,269,3,Brooklyn,26900,3026900,E,BK75,Bedford,4003
154,270,3,Brooklyn,27000,3027000,E,BK28,Bensonhurst West,4017
155,271,3,Brooklyn,27100,3027100,E,BK61,Crown Heights North,4006
